stop_id,stop_name,stop_lat,stop_lon,location_type
740020577,Linanäs brygga,59.472580,18.511874,
740020578,Mora vägskäl,59.643498,18.672507,
740020579,Djurö Byns gård,59.313209,18.710298,
740020580,Gustavsberg Farsta slottshage,59.316254,18.371552,
740020581,Brommaplan T-bana,59.338390,17.939262,
740020605,Söderhall trafikplats norra,59.637700,18.333622,
740020606,Angarn kyrka,59.535744,18.170380,
740020611,Årsta slott,59.105999,18.190805,
740020638,Viksjö centrum,59.413013,17.801056,
740020656,Arninge station,59.458868,18.141334,
740020671,Arlanda terminal 2-3 buss,59.644260,17.929436,
740020689,Södertälje Saltsjögatan,59.193063,17.628272,
740020691,Stockholm Strömkajen,59.328796,18.076061,
740020692,Husarö brygga,59.502236,18.844185,
740020693,Finnhamn brygga,59.482759,18.826525,
740020694,Sandhamn brygga,59.288423,18.915763,
740020695,Utö Gruvbryggan brygga,58.970486,18.325226,
740020696,Fjärdlång brygga,59.035715,18.511412,
740020741,Stockholm Stadion,59.343790,18.077237,
740020749,T-Centralen T-bana,59.330947,18.059263,
740020750,Stockholm Östra station,59.346113,18.071714,
740020755,Alvik T-bana,59.333635,17.980265,
740020756,Gåshaga station,59.356925,18.229038,
740020757,Ropsten T-bana,59.357298,18.102218,
740020834,Källbrink idrottsplats,59.250287,17.949339,
740020835,Slagsta Strand,59.253846,17.859493,
740020843,Rånäs affär,59.801517,18.306964,
740020856,Aspö brygga,59.215704,18.753950,
740020867,Mörby station,59.391889,18.046934,
740020868,Altorp station,59.410227,18.072895,
740020869,Näsby allé station,59.427431,18.085360,
740020870,Djursholms Ekeby station,59.412881,18.057570,
740020871,Rydbo station,59.465341,18.183245,
740020872,Tibble station,59.442140,18.062565,
740020873,Kragstalund station,59.510132,18.075709,
740020874,Saltsjö-Järla station,59.306848,18.149675,
740020875,Saltsjö-Duvnäs station,59.300541,18.198687,
740020876,Igelboda station,59.287658,18.280193,
740020877,Neglinge station,59.288526,18.292140,
740020879,Tattby station,59.279056,18.282008,
740020980,Glyxnäs,59.587930,18.853776,
740020991,Vaxholm Hotellkajen,59.401892,18.355676,
740020999,Faringe station,59.919858,18.114885,
740021013,Odenplan T-bana,59.342956,18.049704,
740021038,Lunda kyrka,59.666841,18.048205,
740021042,Faringe kyrka,59.978996,18.173149,
740021043,Faringe vägskäl,59.927483,18.111748,
740021044,Solvalla vägskäl,59.951512,18.116854,
740021045,Västerbol,59.972446,18.139630,
740021329,Trosa Utterviksvägen,58.901957,17.521629,
740021394,Södertälje Ottesångsvägen,59.203820,17.610884,
740021529,Idöborg brygga,59.204265,18.757692,
740021549,Östanvik (Nämdö) brygga,59.197515,18.740054,
740021555,Kalkberget (Nämdö) brygga,59.191385,18.719466,
740021566,Västanvik (Nämdö) brygga,59.187576,18.707046,
740021596,Tullgarn,58.964371,17.564383,
740021597,Pilkrog,59.081191,17.607946,
740021640,Solvik (Nämdö) brygga,59.184719,18.700660,
740021642,Solna centrum T-bana,59.358860,17.998974,
740021643,Stocksund station,59.385099,18.043916,
740021644,Bergshamra T-bana,59.381508,18.036516,
740021645,Universitetet T-bana,59.365567,18.054891,
740021646,Frescati,59.370597,18.050685,
740021647,Stadion T-bana,59.342967,18.081701,
740021649,Gärdet T-bana,59.347202,18.098793,
740021650,Karlaplan T-bana,59.338811,18.090862,
740021651,Östermalmstorg T-bana,59.334973,18.074083,
740021653,Gamla Stan T-bana,59.323160,18.067620,
740021654,Medborgarplatsen T-bana,59.314337,18.073551,
740021655,Skanstull T-bana,59.307852,18.076228,
740021656,Mariatorget T-bana,59.316958,18.063308,
740021657,Zinkensdamm T-bana,59.317778,18.050152,
740021658,Hornstull T-bana,59.315837,18.034021,
740021659,Kungsträdgården T-bana,59.330784,18.073294,
740021660,Rådhuset T-bana,59.330300,18.042068,
740021661,Fridhemsplan T-bana,59.332199,18.029188,
740021662,Stadshagen T-bana,59.336963,18.017318,
740021663,Kristineberg T-bana,59.332811,18.003182,
740021664,Thorildsplan T-bana,59.331814,18.015437,
740021665,S:t Eriksplan T-bana,59.339654,18.036988,
740021666,Rådmansgatan T-bana,59.340572,18.058775,
740021667,Hötorget T-bana,59.335533,18.063539,
